"Geography (2,3)",Age group,Sex,Indicators,"Characteristics (50,51,52,53,54,71,84,87)",2013
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,15.7
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,28.2
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,48.9
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,51.1
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61.7
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,34.8
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,73
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,83.9
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.6
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,26.6
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,9.1
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,18.9
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.4
"Prairie Mountain Health, Manitoba [4602-D]  (11)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,5.7
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,90.6
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,19.1
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.3
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,Asthma (24),Percent,9.3
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,20.5
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.6
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,25.1
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,34.8
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,54
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,46
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,59.1
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,71.1
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,84.2
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77.8
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,27.3
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,6.4
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,21.9
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.1
"Interlake-Eastern Regional Health Authority, Manitoba [4603-E]  (11)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,6.6
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.7
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,15.3
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,5.1
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.1
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19.1
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,29.9
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,27.1
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,33.5
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,51.8
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,48.2
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,73.5
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,44.5
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,74.6
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,59.6
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,73.7
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,30.4
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.4
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,19.9
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.3
"Northern Regional Health Authority, Manitoba [4604-F]  (11)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.4
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,18.5
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,3.3
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,Asthma (24),Percent,3.9
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,16.5
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,15.8
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,17.6
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,29.5
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,48.9
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,51.1
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,55.1
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,75
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,82.1
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,73.3
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,19.6
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,7.7
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,14.4
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16.7
"Southern Health , Manitoba [4605-D]  (11)","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.4
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,16.1
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,6.6
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,6.4
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,19.9
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,23.8
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.9
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,38.8
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,51.6
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,48.4
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,58.5
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,76.9
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,74.2
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,71.3
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,26.5
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.7
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,22.8
"Sun Country Regional Health Authority, Saskatchewan [4701-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,95
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,20.1
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,8
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.1
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,21.1
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,27.4
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,25.9
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,27
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,52.6
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,47.4
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,64.8
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,74
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,88.2
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,77.8
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,26.3
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.6
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,22.4
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,14.5
"Five Hills Regional Health Authority, Saskatchewan [4702-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93.8
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,16.6
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,11.2
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,9.7
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,23.1
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.6
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.4
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,47.1
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,45.7
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,54.3
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,61
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,77.7
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,72.8
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,75.1
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,30
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.8
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,16
"Cypress Regional Health Authority, Saskatchewan [4703-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,93
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,14.9
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,7.7
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,8.5
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,16.6
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,22.3
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,20.2
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,34.3
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,55.4
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,44.6
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,58
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,70.3
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,78.8
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,79.3
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,25.2
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,8.8
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,16
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,21
"Regina Qu'Appelle Regional Health Authority, Saskatchewan [4704-A] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,2.8
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,91.9
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,21.4
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,13.9
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,10
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,26.8
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,28.9
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,15.8
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,26.4
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,46.7
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,53.3
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,67.2
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,F
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Sense of belonging to local community, somewhat strong or very strong (45)",Percent,76.4
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,Has a regular medical doctor (46),Percent,75
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Contact with a medical doctor in the past 12 months (47,48,88)",Percent,66.6
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Influenza immunization, less than one year ago (49,74)",Percent,14.4
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,Mood disorder (70),Percent,5.5
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Wears a helmet when riding a bicycle, always (75,88)",Percent,F
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,"Injuries in the past 12 months causing limitation of normal activities (80,88)",Percent,17.2
"Sunrise Regional Health Authority, Saskatchewan [4705-D] ","Total, 12 years and over",Both sexes,Chronic obstructive pulmonary disease (COPD) (81),Percent,F
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Life satisfaction, satisfied or very satisfied (72,73)",Percent,94.5
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Arthritis (20,21)",Percent,14.5
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Diabetes (22,23)",Percent,4.3
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,Asthma (24),Percent,6.4
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,High blood pressure (25),Percent,15.1
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Current smoker, daily or occasional (28,29,30,31,33)",Percent,20.1
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,Heavy drinking (15),Percent,16.9
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Fruit and vegetable consumption, 5 times or more per day (37,63)",Percent,42.6
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, moderately active or active (38,39)",Percent,57.1
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Physical activity during leisure-time, inactive (38,39)",Percent,42.9
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, adult (18 years and over), overweight or obese (40,41,42,43)",Percent,60.9
"Saskatoon Regional Health Authority, Saskatchewan [4706-A] ","Total, 12 years and over",Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese (40,41,64)",Percent,28
